file,subject,tags,licence,attribution,source_url
sam-altman.jpg,Sam Altman,openai;ceo;ai;llm;chatgpt,cc-by-4.0,"首相官邸ホームページ / Office of the Prime Minister of Japan Official Website, CC BY 4.0, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Meeting_with_Masayoshi_Son_and_Sam_Altman_(February_3,_2025)_(3x4_cropped_on_Altman).jpg"
dario-amodei.jpg,Dario Amodei,anthropic;ceo;ai;claude;safety,cc-by-3.0,"TechCrunch, CC BY 2.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Dario_Amodei_at_TechCrunch_Disrupt_2023_01_(cropped).jpg
demis-hassabis.jpg,Demis Hassabis,deepmind;google;ai;research,cc-by-sa-4.0,"John Sears, CC BY-SA 4.0, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Demis_Hassabis,_2024_Nobel_Prize_Laureate_in_Chemistry_7_(cropped).jpg"
sundar-pichai.jpg,Sundar Pichai,google;alphabet;ceo;ai;gemini,cc-by-4.0,"Photographer: Lukasz Kobus (European Commission), CC BY 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Sundar_Pichai_-_2023_(cropped).jpg
satya-nadella.jpg,Satya Nadella,microsoft;ceo;copilot;ai;enterprise,cc-by-sa-4.0,"Brian Smale and Microsoft, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:MS-Exec-Nadella-Satya-2017-08-31-22_(cropped).jpg
jensen-huang.jpg,Jensen Huang,nvidia;ceo;chips;datacentre,public-domain,"The White House, Public domain, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Jen-Hsun_Huang_2025.jpg
mark-zuckerberg.jpg,Mark Zuckerberg,meta;ceo;ai;llama,public-domain,"The White House, Public domain, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:F20250904AH-2824_(54778373111)_(3x4_cropped_on_Zuckerberg_following_the_rule_of_thirds).jpg
elon-musk.jpg,Elon Musk,xai;tesla;spacex;ceo,cc-by-sa-4.0,"Gage Skidmore, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Elon_Musk_-_54820081119_(cropped).jpg
yann-lecun.jpg,Yann LeCun,meta;research;ai;academic,cc-by-sa-4.0,"Jérémy Barande, CC BY-SA 2.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Laura_Chaubard_%26_Yann_Le_Cun_-_2024_(53814052697)_(cropped).jpg
mustafa-suleyman.jpg,Mustafa Suleyman,microsoft;ai;deepmind,cc-by-sa-4.0,"Christopher Wilson, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Mustafa_Suleyman_photo_(cropped).jpg
