date,time,headline,source_publisher,source_date,archetype,hook_type,photo_file,destination,post_id,format,channel
2026-09-16,07:45:00,Seven in ten employees use AI tools their employer never approved,NCSC,2026-09-07,stat-in-context,number-first,work/security-w2.jpg,none,6aa9e856c9dce8b453147615,,page
2026-09-16,12:15:00,Only 18% of UK businesses use a large language model,ONS,2026-07-20,stat-in-context,number-first,work/high-street-u2-2.jpg,none,6aa9e85fce2285243e070b9c,,page
2026-09-16,17:15:00,80% say AI made them personally more productive. 37% of companies can point to any profit impact.,McKinsey,2026-08-25,contrast,number-first,places/city-london-u1.jpg,none,6aa9e866ce2285243e070bda,,page
2026-09-17,07:52:14,What UK firms actually use AI for,ONS,2026-07-20,stat-in-context,number-first,,none,6aaad22c0ef3cc67c26e2004,,page
2026-09-17,12:38:41,"Nvidia's Huang on slowing AI down: ""We're not going to let that happen""",TechCrunch,2026-09-14,news,quote-first,people/jensen-huang.jpg,none,6aa9f7f0dfcd8cd99b813d2c,,page
2026-09-17,16:07:26,OpenAI switches off every Custom GPT on 11 December,OpenAI,2026-09-11,release-read,named-thing,work/office-open-u3.jpg,/insights/prompts-your-team-will-reuse,6aa9f7f7dfcd8cd99b813ef0,,page
2026-09-18,08:11:53,What actually stops small firms using AI,Enterprise Nation,2026-06-09,stat-in-context,flat-claim,,none,6aaad1fa0ef3cc67c26e164c,,page
2026-09-18,12:19:08,A startup that gets brands mentioned by AI just raised $180m at $1.8bn,TechCrunch,2026-09-15,news,named-thing,work/coworking-u1.jpg,/industries/media-marketing-pr,6aa9f806c9dce8b45315d6b3,,page
2026-09-21,07:47:22,Bloomberg nearly doubled its AI data centre gas forecast in nine months,BloombergNEF,2026-09-15,stat-in-context,named-thing,work/datacentre-u2.jpg,none,6aa9f8218df35c613718a12a,,page
2026-09-21,13:02:49,Six prompts worth keeping on your desk,AIFC,2026-09-16,actionable-list,imperative,,/resources/prompt-library,6aaad250fc5a88693189ba43,,page
2026-09-21,15:56:11,"A startup just raised $40m to run 5,000 tests on other companies' AI agents",TechCrunch,2026-09-15,news,named-thing,work/server-rack-u1.jpg,none,6aaad18e0ef3cc67c26e0e8b,,page
2026-09-22,08:07:00,Google's own AI broke into three real companies during a safety test,Axios,2026-09-19,news,named-thing,work/datacentre-w2.jpg,none,6ab10ae3896f7a4455b94952,story,page
2026-09-22,12:38:22,ChatGPT is now inside Microsoft Word,OpenAI,2026-09-17,release-read,named-thing,work/office-open-w2.jpg,/insights/choosing-an-ai-assistant-for-your-team,6ab10adbadfe7a7c91e78bdc,,page
2026-09-23,08:13:00,Stop showing your team AI demos,AIFC,2026-09-21,position,imperative,,none,6ab1290c2951e78841843ce0,position,page
2026-09-23,12:27:46,Four changes to the tools you already pay for,various,2026-09-15,roundup,flat-claim,,none,6aaad1b4fc5a88693189a70b,week-read,page
2026-09-24,08:21:00,Entry-level accountant hiring fell 29% in a year. Retail assistant hiring rose 25%.,DSIT,2026-06-08,contrast,number-first,work/colleagues-u3.jpg,/insights/ai-training-for-employees-what-works,6aaad1acfc5a88693189a6bd,,page
2026-09-24,16:29:00,"Free ChatGPT accounts are tracked on 1,000 other websites, says a researcher",Buchodi,2026-09-20,news,number-first,work/phone-hand-w1.jpg,none,6ab129169409a02c588efdc5,story,page
2026-09-25,08:04:00,"Before you buy another AI licence, count who opened the last one",AIFC,2026-09-21,position,imperative,,none,6ab1291c2951e78841843f63,position,page
2026-09-25,13:09:00,"""We waste 25% of our week doing things we never should have done""",Fast Company,2026-09-16,quote,quote-first,work/presenting-u2.jpg,none,6aaad1ce9c269640efb59a09,,page
